Abstractor #1,Row,Cal (rank 1 worst-10 best),GG vibes ranking,Kanny vibes ranking,Avery vibes ranking,vibes,Movie,Name,Year,Comp,PP,DD,MM,FF,Ch,Nom,Pic,Dir,Aml,Afl,Ams,Afs,Scr,Cin,Art,Cos,Sco,Son,Edi,Sou,For,Anf,Eff,Mak,Dan,AD,PrNl,PrWl,PrNs,PrWs,PrN,PrW,Gdr,Gmc,Gd,Gm1,Gm2,Gf1,Gf2,PGA,DGA,SAM,SAF,SAE,PN,PD,DN,DP,DPrN,DPrW,MN,MP,MPrN,MPrW,FN,FP,FPrN,FPrW,Age,Action,Adventure,Animation,Biography,Comedy,Crime,Docu,Drama,Family,Fantasy,Film-noir,History,Horror,Music,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Length,Days,G,PG,PG13,PGPG13,R,U,Ebert,NYFCC,LAFCA,NSFC,NBR,WR,
Sebastien,-216,10,,,,2.5,A Complete Unkown,Timothee Chalamet,2024,370,0,0,1,0,0,8,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,29,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141,68,0,0,0,0,1,0,3.5,0,0,0,0,7.6,
Sebastien,-205,3,,,,0.75,A Complete Unkown,James Mangold,2024,368,0,1,0,0,0,8,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,4,0,0,0,0,0,0,0,0,0,61,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141,68,0,0,0,0,1,0,3.5,0,0,0,0,7.6,
Sebastien,-200,8,,,,2,A Complete Unkown,A Complete Unkown,2024,367,1,0,0,0,0,8,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141,68,0,0,0,0,1,0,3.5,0,0,0,0,7.6,
Graham,-210,9,,,,2.25,Anora,Mikey Madison,2024,369,0,0,0,1,0,6,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,139,114,0,0,0,0,1,0,4,0,1,0,1,7.7,
Graham,-207,9,,,,2.25,Anora,Sean Baker,2024,368,0,1,0,0,0,6,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,139,114,0,0,0,0,1,0,4,0,0,0,0,7.7,
Graham,-202,11,,,,2.75,Anora,Anora,2024,367,1,0,0,0,0,6,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,139,114,0,0,0,0,1,0,4,0,1,0,1,7.7,
Omotayo,-214,8,,,,2,Conclave,Ralph Fiennes,2024,370,0,0,1,0,0,8,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,1,0,0,0,0,0,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,120,128,0,1,0,0,0,0,4,0,0,0,0,7.4,
Omotayo,-199,12,,,,3,Conclave,Conclave,2024,367,1,0,0,0,0,8,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,120,128,0,1,0,0,0,0,4,0,0,0,0,7.4,
Stephen,-198,3,,,,0.75,Dune: Part Two,Dune: Part Two,2024,367,1,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,166,367,0,0,1,0,0,0,3.5,0,0,0,0,8.5,
Stephen,-211,3,,,,0.75,Emilia Perez,Karla Sofia Gascon,2024,369,0,0,0,1,0,13,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,72,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,288,0,0,0,0,1,0,3,0,0,0,0,5.5,
