"vibes","Movie","Name","Year","PP","DD","MM","FF","Ch","Nom","Pic","Dir","Aml","Afl","Ams","Afs","Scr","Cin","PrNl","PrWl","PrNs","PrWs","PrN","PrW","Gdr","Gmc","Gd","Gm1","Gm2","Gf1","Gf2","PGA","DGA","SAM","SAF","SAE","Age","Length","Days","WR","rating_val"
8.33333333333333,"A Complete Unkown","Timothee Chalamet","2024","0","0","1","0","0",8,"1","1",1,0,1,1,1,"0",2,0,2,0,4,0,0,"0","0","0","0",0,"0","0","0","1","0","0",29,141,68,7.6,8.33333333333333
2.5,"A Complete Unkown","James Mangold","2024","0","1","0","0","0",8,"1","1",1,0,1,1,1,"0",2,0,2,0,4,0,0,"0","0","0","0",0,"0","0","0","1","0","0",61,141,68,7.6,2.5
6.66666666666667,"A Complete Unkown","A Complete Unkown","2024","1","0","0","0","0",8,"1","1",1,0,1,1,1,"0",2,0,2,0,4,0,0,"0","0","0","0",0,"0","0","0","1","0","0",NA,141,68,7.6,6.66666666666667
7.5,"Anora","Mikey Madison","2024","0","0","0","1","0",6,"1","1",0,1,1,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","1","1","0","0","0",25,139,114,7.7,7.5
7.5,"Anora","Sean Baker","2024","0","1","0","0","0",6,"1","1",0,1,1,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","1","1","0","0","0",54,139,114,7.7,7.5
9.16666666666667,"Anora","Anora","2024","1","0","0","0","0",6,"1","1",0,1,1,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","1","1","0","0","0",NA,139,114,7.7,9.16666666666667
6.66666666666667,"Conclave","Ralph Fiennes","2024","0","0","1","0","0",8,"1","0",1,0,0,1,1,"0",1,0,1,0,4,0,0,"0","0","0","0",0,"0","0","0","0","0","1",62,120,128,7.4,6.66666666666667
10,"Conclave","Conclave","2024","1","0","0","0","0",8,"1","0",1,0,0,1,1,"0",1,0,1,0,4,0,0,"0","0","0","0",0,"0","0","0","0","0","1",NA,120,128,7.4,10
2.5,"Dune: Part Two","Dune: Part Two","2024","1","0","0","0","0",5,"1","0",0,0,0,0,0,"1",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,166,367,8.5,2.5
2.5,"Emilia Perez","Karla Sofia Gascon","2024","0","0","0","1","0",13,"1","1",0,1,0,1,1,"1",0,0,0,0,1,1,0,"1","0","0","0",0,"0","0","0","0","0","0",72,130,288,5.5,2.5
